Timestamp,NameGiven,NameFamily,Organization,Title,URL,Status
6/15/2019 16:14:50,Godwin,Yeboah,Institute for Global Sustainable Development - University of Warwick,Senior Research Fellow,https://warwick.ac.uk/fac/arts/schoolforcross-facultystudies/igsd/,Myself
6/15/2019 17:18:21,Philipp,Conzett,UiT The Arctic University of Norway,Senior Research Librarian,https://en.uit.no/,Myself
6/16/2019 21:44:30,Melissa,Levine,University of Michigan Library,"Director, Copyright Office",https://lib.umich.edu,Myself
6/17/2019 1:42:00,Elaine,Westbrooks,University of North Carolina at Chapel Hill,University Librarian & Vice Provost,https://library.unc.edu,My Institution
6/17/2019 4:45:32,Maseka,Lesaoana,,Researcher,,Myself
6/17/2019 7:40:57,Edwin,Qobose,University of Botswana Library,Director,https://kitsiso.ub.bw/,Myself
6/17/2019 7:53:40,Joseph,Wafula,JKUAT,Director,http://www.jkuat.ac.ke,My Institution
6/17/2019 11:12:11,Souleymane,Sogoba,CPS/SDR,Archivist-Documentalist,https://faceboob.com/souleymanesogoba.9,Myself
6/17/2019 14:22:59,Joseph,McArthur,Open Access Button,Director,https://openaccessbutton.org,My Institution
6/18/2019 6:21:45,Nomathongo,Bell,Nelson Mandela University,"Deputy Director, Library and Information Services",https://www.mandela.ac.za,Myself
6/18/2019 10:46:07,Ayenew,Fentahun,Jimma University,Lecturer and Librarian,http://ju.edu.et/library,Myself
6/18/2019 13:45:37,Sithembile,Nyebeleza,NWU,Assistant Librarian,https://www.nwu.ac.za/library,Myself
6/19/2019 10:53:07,David,Seaman,Syracuse University,Dean of Libraries and Interim Dean of the School of Information Studies,https://library.syr.edu,My Institution
6/19/2019 12:55:12,Mmaditshipi,Seageng,National School of Government,Library Manager,https://www.thensg.gov.za,Myself
6/19/2019 16:41:35,Michael,Mensah,TAKORADI TECHNICAL UNIVERSITY,Assistant Librarian,http://www.ttu.edu.gh/ttu/pages/,Myself
6/19/2019 21:49:36,Rob,Johnson,Research Consulting,Founder and Director,https://www.research-consulting.com/,My Institution
6/20/2019 14:57:17,Rahul,Belani,ITHAKA JSTOR,VP Products,https://www.jstor.org,My Institution
6/21/2019 17:06:14,Kristin,Antelman,"University of California, Santa Barbara",University Librarian,https://www.library.ucsb.edu/,My Institution
6/21/2019 17:12:40,Johannah,White,Xavier University of Louisiana,OER Librarian,https://xula.libguides.com/library,Myself
6/25/2019 11:23:13,Irene ,Onyancha,United Nations Economic Commission for Africa,"Chief, Knowledge Management Services ",http://www.uneca.org,Myself
6/26/2019 18:30:48,Kristi,Park,Texas Digital Library,Executive Director,https://www.tdl.org/,My Institution
6/28/2019 11:43:24,Lire,Zakari,Conseil Africain et Malgache pour l'Enseignement Supérieur (CAMES),Head of Documentation and Information Centre,http://www.lecames.org,Myself
